English,Marathi
medical,वैद्यकीय
meet,भेट
meeting,बैठक
member,सदस्य
memory,मेमरी
mention,उल्लेख
message,संदेश
method,पद्धत
middle,मध्यम
might,कदाचित
military,सैन्य
million,दशलक्ष
mind,मन
minute,मिनिट
miss,मिस
mission,मिशन
model,मॉडेल
modern,आधुनिक
moment,क्षण
money,पैसे
more,अधिक
morning,सकाळी
most,सर्वात जास्त
mother,आई
mouth,तोंड
move,हलवा
movement,चळवळ
movie,चित्रपट
Mr,श्री
Mrs,सौ
much,बरेच
music,संगीत
must,हे केलेच पाहिजे
my,माझे
myself,स्वतः
name,नाव
nation,राष्ट्र
national,राष्ट्रीय
natural,नैसर्गिक
nature,निसर्ग
near,जवळ
nearly,जवळजवळ
necessary,आवश्यक
need,गरज
network,नेटवर्क
never,कधीही नाही
new,नवीन
news,बातम्या
newspaper,वृत्तपत्र
next,पुढे
nice,छान
night,रात्र
no,नाही
none,काहीही नाही
nor,नाही
north,उत्तर
not,नाही
note,नोट
nothing,काहीही नाही
notice,सूचना
now,आता
n't,नाही
number,संख्या
occur,घडते
of,च्या
off,बंद
offer,ऑफर
office,कार्यालय
officer,अधिकारी
official,अधिकृत
often,सहसा
oil,तेल
ok,ठीक आहे
old,जुन्या
on,चालू
once,एकदा
one,एक
only,फक्त
open,उघडा
operation,ऑपरेशन
opportunity,संधी
option,पर्याय
or,किंवा
order,ऑर्डर
organization,संस्था
other,इतर
others,इतर
our,आमचे
out,बाहेर
outside,बाहेर
over,प्रती
own,मालकीचे
owner,मालक
page,पृष्ठ
pain,वेदना
paper,पेपर
parent,पालक
part,भाग
participant,सहभागी
particular,विशेष
particularly,विशेषतः.
partner,भागीदार
party,पार्टी
pass,पास
past,भूतकाळ
patient,रुग्ण
pattern,नमुना
pay,वेतन
peace,शांती
people,लोक
per,प्रति
perform,कार्य करणे
performance,कामगिरी
perhaps,कदाचित
period,कालावधी
person,व्यक्ती
personal,वैयक्तिक
phone,फोन
physical,भौतिक
pick,निवडा
picture,चित्र
piece,तुकडा
place,जागा
plan,योजना
plant,वनस्पती
play,खेळ
player,खेळाडू
PM,पंतप्रधान
point,पॉइंट
police,पोलिस
policy,धोरण
political,राजकीय
politics,राजकारण
poor,गरीब
popular,लोकप्रिय
population,लोकसंख्या
position,स्थिती
positive,सकारात्मक
possible,शक्य
power,शक्ती
practice,सराव
prepare,तयार करा
present,उपस्थित
president,अध्यक्ष
pressure,दबाव
pretty,सुंदर
prevent,प्रतिबंधित
price,किंमत
private,खाजगी
probably,कदाचित
problem,समस्या
process,प्रक्रिया
produce,उत्पादन
product,उत्पादन
production,उत्पादन
professional,व्यावसायिक
professor,प्राध्यापक
program,कार्यक्रम
project,प्रकल्प
property,मालमत्ता
protect,संरक्षित
prove,सिद्ध करणे
provide,प्रदान
public,सार्वजनिक
pull,पुल
purpose,उद्देश
push,पुश
put,ठेवले
quality,गुणवत्ता
question,प्रश्न
quickly,त्वरीत
quite,जोरदार
race,रेस
radio,रेडिओ
raise,वाढवा
range,श्रेणी
rate,दर
rather,त्याऐवजी
reach,पोहोच
read,वाचा
ready,तयार
real,वास्तविक
reality,वास्तविकता
realize,समजून घ्या
really,खरोखर
reason,कारण
receive,प्राप्त
recently,अलीकडे
recognize,ओळखा
record,विक्रम
red,लाल
reduce,कमी करणे
reflect,प्रतिबिंबित
region,प्रदेश
relate,संबंधित
relationship,नाते
religious,धार्मिक
remain,राहतात
remember,लक्षात ठेवा
remove,काढा
report,अहवाल
represent,प्रतिनिधित्व
Republican,रिपब्लिकन
require,आवश्यक
research,संशोधन
resource,संसाधन
respond,प्रतिसाद द्या
response,प्रतिसाद
responsibility,जबाबदारी
rest,उर्वरित
result,परिणाम
return,परत
reveal,प्रकट
rich,श्रीमंत
right,उजवीकडे
rise,उदय
risk,जोखीम
road,रस्ता
role,भूमिका
room,खोली
rule,नियम
run,रन
safe,सुरक्षित
same,त्याच
save,जतन करा
say,म्हणा
scene,देखावा
school,शाळा
science,विज्ञान
scientist,शास्त्रज्ञ
score,धावसंख्या
sea,समुद्र
season,हंगाम
seat,सीट
second,सेकंद
section,विभाग
security,सुरक्षा
see,पहा
seek,शोधा
seem,दिसते
sell,विक्री
send,पाठवा
senior,वरिष्ठ
sense,अर्थ
series,मालिका
serious,गंभीर
serve,सर्व्ह करावे
service,सेवा
set,सेट
seven,सात
several,अनेक
sex,लिंग
sexual,लैंगिक
shake,शेक
share,शेअर
shoot,शूट
short,लहान
shot,शॉट
should,पाहिजे
shoulder,खांदा
show,शो
side,बाजू
sign,चिन्ह
significant,महत्त्वपूर्ण
similar,समान
simple,सोपे
simply,फक्त
since,पासून
sing,गाणे
single,सिंगल
sister,बहिणी
sit,बसा
site,जागा
situation,परिस्थिती
six,सहा.
size,आकार
skill,कौशल्य
skin,त्वचा
small,लहान
smile,हसणे
so,म्हणून
social,सामाजिक
society,समाज
soldier,सैनिक
some,काही
somebody,कोणीतरी
someone,कोणीतरी
something,काहीतरी
sometimes,कधीकधी
son,मुलगा
song,गाणे
soon,लवकरच
sort,क्रमवारी
sound,आवाज
source,स्त्रोत
south,दक्षिण
space,जागा
speak,बोलू
special,विशेष
specific,विशिष्ट
speech,भाषण
spend,खर्च
sport,खेळ
spring,वसंत ऋतू
staff,कर्मचारी
stage,स्टेज
stand,उभे
standard,मानक
star,तारा
start,प्रारंभ
state,राज्य
statement,विधान
station,स्टेशन
stay,राहा
step,पाऊल
still,अजूनही
stock,स्टॉक
stop,थांबवा
store,स्टोअर
story,कथा
strategy,स्ट्रॅटेजी
street,रस्ता
strong,मजबूत
structure,संरचना
student,विद्यार्थी
study,अभ्यास
stuff,सामग्री
style,शैली
subject,विषय
successful,यशस्वी
such,अशी
suddenly,अचानक
suffer,ग्रस्त
suggest,सूचित
summer,उन्हाळा
support,समर्थन
sure,नक्कीच
surface,पृष्ठभाग
system,प्रणाली
table,टेबल
take,घ्या
talk,बोलणे
task,कार्य
tax,कर
teach,शिकवणे
teacher,शिक्षक
team,संघ
technology,तंत्रज्ञान
television,दूरदर्शन
tell,सांगा
ten,दहा
tend,कल
term,टर्म
test,चाचणी
than,पेक्षा
thank,धन्यवाद
that,ते
the,द
their,त्यांचे
them,त्यांना
themselves,स्वतःला
then,मग
theory,सिद्धांत
there,तेथे
these,हे
they,ते
thing,गोष्ट
think,विचार करा
third,तिसऱ्या
this,हे
those,ते
though,जरी
thought,विचार
thousand,हजारो
threat,धमकी
three,तीन
through,माध्यमातून
throughout,संपूर्ण
throw,फेकणे
thus,अशाप्रकारे
time,वेळ
to,करण्यासाठी
today,आज
together,एकत्र
tonight,आज रात्री
too,खूप
top,शीर्ष
total,एकूण
tough,tough
toward,दिशेने
town,शहर
trade,व्यापार
training,प्रशिक्षण
travel,प्रवास
treat,उपचार
treatment,उपचार
tree,झाड
trial,चाचणी
trip,ट्रिप
trouble,समस्या
TRUE,खरे
truth,सत्य
try,प्रयत्न
turn,वळण
TV,टीव्ही
under,अंतर्गत
understand,समजून घ्या
unit,युनिट
until,होईपर्यंत
up,अप
upon,यावर
us,यूएस
use,वापर
usually,सहसा
value,मूल्य
various,विविध
very,खूप
victim,बळी
view,पहा
violence,हिंसा
visit,भेट
voice,आवाज
vote,मतदान
wait,प्रतीक्षा करा
walk,चालणे
wall,भिंत
want,पाहिजे
war,युद्ध
watch,पहा
water,पाणी
way,मार्ग
we,आम्ही
weapon,शस्त्र
wear,कपडे घालणे
week,आठवडा
weight,वजन
well,ठीक आहे
west,पश्चिम
western,पश्चिम
what,काय
whatever,जे काही
when,कधी
where,कुठे
whether,की नाही
which,जे
while,करताना
white,पांढरा
who,Who
whole,संपूर्ण
whom,ज्या
whose,कोणाचे
why,का
wide,वाइड
wife,पत्नी
will,होईल
win,जिंकणे
wind,वारा
window,खिडकी
wish,इच्छा
with,सह
within,आत
without,शिवाय
woman,स्त्री
word,शब्द
work,काम
worker,कामगार
world,जग
worry,चिंता
would,होईल
write,लिहा
writer,लेखक
wrong,चुकीचे
yard,यार्ड
yeah,होय
year,वर्ष
yes,हो
yet,अद्याप
you,आपण
young,तरुण
your,तुझे
yourself,तू स्वतः
